name,id,keyword,followers,tracks_url
Relax & Chill 2025 🌴,7JabddFr3Q6JPsND4v9Swf,Chill,11157767070,https://api.spotify.com/v1/playlists/7JabddFr3Q6JPsND4v9Swf/tracks
Chill music😴,7u462zYpYcgQWgsOR6lxGy,Chill,anthonyhendrix17,https://api.spotify.com/v1/playlists/7u462zYpYcgQWgsOR6lxGy/tracks
IBIZA Summer Mix 2025 🌴 Deep House - Tech House - Afrohouse - Sunset Vibes - Beach Lounge - Chillout,4FhyjgN9pPGzTbUVuzqOUW,Chill,43xzlwfo0tft7hn5r5e6dksrd,https://api.spotify.com/v1/playlists/4FhyjgN9pPGzTbUVuzqOUW/tracks
Chill  Vibes 2025 🌙,6IKQrtMc4c00YzONcUt7QH,Chill,electroposé,https://api.spotify.com/v1/playlists/6IKQrtMc4c00YzONcUt7QH/tracks
"Chill House 2025 - Summer Vibes 2025 🌴🌊🎧 | Chill Hits, Deep House Covers, Good Vibes Only",7wDZ5nB0Wb1tcoloILplN8,Chill,chillyourmind,https://api.spotify.com/v1/playlists/7wDZ5nB0Wb1tcoloILplN8/tracks
Chilling in the sun,2UpQyGgkpR9gTY6lBcGt6K,Chill,a9g64oownae985jy7q1i7qjv3,https://api.spotify.com/v1/playlists/2UpQyGgkpR9gTY6lBcGt6K/tracks
Summer Vibes 2025 🌞🌴 Chill Hits,2hmLDliFT9mW84XHxRUzwx,Chill,lillyera,https://api.spotify.com/v1/playlists/2hmLDliFT9mW84XHxRUzwx/tracks
Summer Chill House 2025 🌞🌴  Chillout Vibes 🏝️ Ibiza Lounge Music ,0lrk0v6Zw9VN2nVJtQww04,Chill,lillyera,https://api.spotify.com/v1/playlists/0lrk0v6Zw9VN2nVJtQww04/tracks
Chill Morning 🥐☕ Breakfast Music 2025,63sCiH22a44UxGge1gTuPi,Chill,1120295087,https://api.spotify.com/v1/playlists/63sCiH22a44UxGge1gTuPi/tracks
12hrs Chill GUY,0EIthS1NragNhXLhIgUZRv,Chill,31ypebunl6bipsztc5mv4jrah5bi,https://api.spotify.com/v1/playlists/0EIthS1NragNhXLhIgUZRv/tracks
Beach Lounge 2025 🌴 IBIZA Summer Chillout,7dDJX06UClvROSRLl7vtNx,Chill,j-dosch,https://api.spotify.com/v1/playlists/7dDJX06UClvROSRLl7vtNx/tracks
Vibe songs,759gD1zxheoWbS1n8rI6w3,Chill,31tuww7voanc43rvrefqb3ow2t44,https://api.spotify.com/v1/playlists/759gD1zxheoWbS1n8rI6w3/tracks
